Running Cloud Scan on: Z:/antivirus program/testfile/test.bat
Current Scanning Time: 2023-10-14 17:55:33
Cloud scan results:
Engine: Bkav, Result: False, Version: 2.0.0.1, Update: 20230922
Engine: Lionic, Result: False, Version: 7.5, Update: 20230922
Engine: DrWeb, Result: False, Version: 7.0.61.8090, Update: 20230922
Engine: ClamAV, Result: False, Version: 1.2.0.0, Update: 20230922
Engine: CMC, Result: False, Version: 2.4.2022.1, Update: 20230822
Engine: CAT-QuickHeal, Result: False, Version: 22.00, Update: 20230921
Engine: McAfee, Result: False, Version: 6.0.6.653, Update: 20230922
Engine: Malwarebytes, Result: False, Version: 4.5.5.54, Update: 20230922
Engine: VIPRE, Result: False, Version: 6.0.0.35, Update: 20230922
Engine: Sangfor, Result: False, Version: 2.23.0.0, Update: 20230918
Engine: K7AntiVirus, Result: False, Version: 12.115.49673, Update: 20230922
Engine: K7GW, Result: False, Version: 12.115.49675, Update: 20230922
Engine: BitDefenderTheta, Result: False, Version: 7.2.37796.0, Update: 20230920
Engine: VirIT, Result: False, Version: 9.5.541, Update: 20230921
Engine: Cyren, Result: False, Version: 6.5.1.2, Update: 20230922
Engine: Symantec, Result: False, Version: 1.20.0.0, Update: 20230922
Engine: ESET-NOD32, Result: False, Version: 27950, Update: 20230922
Engine: TrendMicro-HouseCall, Result: False, Version: 10.0.0.1040, Update: 20230922
Engine: Avast, Result: False, Version: 23.9.8494.0, Update: 20230922
Engine: Cynet, Result: False, Version: 4.0.0.27, Update: 20230922
Engine: Kaspersky, Result: False, Version: 22.0.1.28, Update: 20230922
Engine: BitDefender, Result: False, Version: 7.2, Update: 20230922
Engine: NANO-Antivirus, Result: False, Version: 1.0.146.25796, Update: 20230922
Engine: SUPERAntiSpyware, Result: False, Version: 5.6.0.1032, Update: 20230920
Engine: MicroWorld-eScan, Result: False, Version: 14.0.409.0, Update: 20230922
Engine: Tencent, Result: False, Version: 1.0.0.1, Update: 20230922
Engine: Emsisoft, Result: False, Version: 2022.6.0.32461, Update: 20230922
Engine: F-Secure, Result: False, Version: 18.10.1137.128, Update: 20230922
Engine: Baidu, Result: False, Version: 1.0.0.2, Update: 20190318
Engine: Zillya, Result: False, Version: 2.0.0.4958, Update: 20230921
Engine: TrendMicro, Result: False, Version: 11.0.0.1006, Update: 20230922
Engine: McAfee-GW-Edition, Result: False, Version: v2021.2.0+4045, Update: 20230922
Engine: FireEye, Result: False, Version: 35.24.1.0, Update: 20230922
Engine: Sophos, Result: False, Version: 2.3.1.0, Update: 20230922
Engine: Ikarus, Result: False, Version: 6.2.4.0, Update: 20230922
Engine: GData, Result: False, Version: A:25.36537B:27.33232, Update: 20230922
Engine: Jiangmin, Result: False, Version: 16.0.100, Update: 20230921
Engine: Avira, Result: False, Version: 8.3.3.16, Update: 20230922
Engine: Antiy-AVL, Result: False, Version: 3.0, Update: 20230922
Engine: Gridinsoft, Result: False, Version: 1.0.139.174, Update: 20230922
Engine: Xcitium, Result: False, Version: 36028, Update: 20230922
Engine: Arcabit, Result: False, Version: 2022.0.0.18, Update: 20230922
Engine: ViRobot, Result: False, Version: 2014.3.20.0, Update: 20230922
Engine: ZoneAlarm, Result: False, Version: 1.0, Update: 20230922
Engine: Microsoft, Result: False, Version: 1.1.23080.2005, Update: 20230922
Engine: Google, Result: False, Version: 1695380489, Update: 20230922
Engine: AhnLab-V3, Result: False, Version: 3.24.0.10447, Update: 20230922
Engine: Acronis, Result: False, Version: 1.2.0.121, Update: 20230828
Engine: VBA32, Result: False, Version: 5.0.0, Update: 20230922
Engine: ALYac, Result: False, Version: 1.1.3.1, Update: 20230922
Engine: MAX, Result: False, Version: 2023.1.4.1, Update: 20230922
Engine: Zoner, Result: False, Version: 2.2.2.0, Update: 20230922
Engine: Rising, Result: False, Version: 25.0.0.27, Update: 20230922
Engine: Yandex, Result: False, Version: 5.5.2.24, Update: 20230922
Engine: TACHYON, Result: False, Version: 2023-09-22.02, Update: 20230922
Engine: MaxSecure, Result: False, Version: 1.0.0.1, Update: 20230921
Engine: Fortinet, Result: False, Version: None, Update: 20230922
Engine: AVG, Result: False, Version: 23.9.8494.0, Update: 20230922
Engine: Panda, Result: False, Version: 4.6.4.2, Update: 20230922
